customer_id,region,income,coupons,age,eats_breakfast,net_value
0,37,3894,0,24,0,112
1,11,984,0,26,0,17
2,43,2125,1,33,1,-40
3,29,5052,1,35,1,-45
4,45,572,0,26,0,-61
5,29,756,1,34,0,-48
6,17,2083,1,28,1,-2
7,42,1367,1,31,1,-49
8,29,1078,1,31,0,-21
9,2,3129,0,24,0,-16
10,48,978,0,26,1,-8
11,18,3320,1,28,0,1176
12,2,1976,0,26,0,-50
13,42,3836,1,30,0,495
14,10,607,0,27,0,-13
15,31,2245,0,27,0,-71
16,1,1139,1,28,0,-131
17,40,4962,0,28,1,1051
18,20,3207,0,23,0,-30
19,0,2236,1,29,1,79
20,9,2444,0,26,0,28
21,41,2717,0,27,0,211
22,30,2330,1,29,1,-158
23,47,905,0,23,0,1
24,17,1505,1,29,0,165
25,25,4863,0,28,0,1324
26,24,2366,1,33,1,-50
27,27,1128,1,29,1,137
28,8,668,1,28,0,-22
29,25,851,1,29,1,-384
30,33,1133,1,34,1,-191
31,0,605,1,29,1,-40
32,49,2139,0,26,0,15
33,20,5639,1,36,1,-68
34,16,899,1,30,1,-35
35,13,4010,0,27,0,134
36,44,1480,1,29,0,198
37,8,1777,0,26,0,-63
38,32,1282,0,25,1,-33
39,14,2112,0,27,0,20
40,22,2496,1,32,0,6
41,22,1035,0,27,0,62
42,6,2158,1,28,0,-111
43,17,2055,1,31,1,-27
44,12,1085,0,25,0,1
45,2,2075,1,31,1,-110
46,20,5617,0,24,0,720
47,9,3128,0,26,1,-19
48,24,1965,1,30,1,526
49,41,1187,0,27,0,-17
50,40,1196,0,24,0,8
51,48,550,0,23,0,-2
52,19,8726,1,33,0,-40
53,20,1784,0,26,1,-56
54,37,630,0,28,0,-356
55,2,1496,0,27,1,-80
56,7,3403,1,29,0,503
57,44,7262,0,24,1,1572
58,33,3499,1,29,0,71
59,5,2824,0,26,0,320
60,30,1703,1,29,0,-154
61,27,1540,1,30,1,-1
62,37,3240,0,25,0,-204
63,26,571,1,29,1,-47
64,12,2234,0,27,1,-17
65,21,615,1,30,1,-104
66,3,2618,1,33,1,206
67,6,2643,0,27,1,-93
68,22,3977,1,31,1,396
69,6,2374,1,29,1,440
70,39,1056,0,28,1,-98
71,27,609,0,24,1,0
72,31,7652,1,30,0,-127
73,38,1892,0,23,0,75
74,47,7301,1,28,1,-34
75,21,2137,0,25,1,-100
76,29,1154,1,29,0,-17
77,5,539,1,30,1,-76
78,23,4862,0,27,1,713
79,3,3525,0,26,1,399
80,24,2491,1,30,0,124
81,41,976,0,25,1,47
82,8,587,1,31,1,-99
83,37,2707,1,29,1,-296
84,44,1429,0,28,0,-34
85,29,6576,1,31,1,70
86,8,861,1,33,0,-104
87,27,1843,0,24,0,13
88,49,1867,0,23,1,-51
89,9,3768,0,27,0,322
90,45,1030,0,23,0,-42
91,15,5710,0,28,0,4257
92,3,2065,0,27,0,172
93,6,1179,1,31,1,-138
94,26,858,1,29,0,-4
95,8,1064,0,26,0,-15
96,20,659,0,27,1,-50
97,19,4356,0,25,0,738
98,25,3940,1,30,1,-427
99,45,4287,0,26,0,215
100,32,3923,0,20,0,-32
101,21,2457,0,25,1,14
102,29,519,0,26,0,-1
103,23,953,1,29,1,-253
104,37,621,0,27,0,-340
105,9,1516,1,29,0,159
